ID,Name,Rank,Platform,PickRate,WinRate,TieRate,OnFire,,,,,,
16,Moira,Silver,PC,7.33%,47.24%,1.84%,5.43%,,,,,,
17,Orisa,Silver,PC,0.65%,48.39%,1.65%,4.76%,,,,,,
18,Pharah,Silver,PC,1.87%,52.13%,1.46%,12.20%,,,,,,
19,Reaper,Silver,PC,2.72%,50.34%,1.24%,15.14%,,,,,,
20,Reinhardt,Silver,PC,6.92%,51.12%,2.29%,6.70%,,,,,,
21,Roadhog,Silver,PC,7.53%,49.10%,1.87%,8.74%,,,,,,
22,Sigma,Silver,PC,2.45%,49.64%,2.02%,11.68%,,,,,,
23,Soldier: 76,Silver,PC,2.81%,48.94%,1.85%,10.56%,,,,,,
24,Sombra,Silver,PC,0.95%,44.89%,1.39%,11.98%,,,,,,
25,Symmetra,Silver,PC,0.69%,58.02%,2.39%,8.58%,,,,,,
26,Torbjorn,Silver,PC,1.54%,59.31%,1.88%,8.84%,,,,,,
27,Tracer,Silver,PC,1.22%,45.61%,1.29%,6.55%,,,,,,
28,Widowmaker,Silver,PC,1.27%,46.57%,0.78%,5.20%,,,,,,
29,Winston,Silver,PC,1.97%,48.52%,1.30%,5.88%,,,,,,
30,Wrecking Ball,Silver,PC,1.92%,49.48%,1.42%,2.63%,,,,,,
31,Zarya,Silver,PC,8.81%,49.81%,1.93%,9.51%,,,,,,
32,Zenyatta,Silver,PC,2.25%,53.65%,1.58%,9.06%,,,,,,
1,Ana,Gold,PC,13.37%,49.90%,2.00%,8.83%,,,,,,
2,Ashe,Gold,PC,5.70%,51.19%,1.85%,8.46%,,,,,,
3,Baptiste,Gold,PC,1.67%,45.90%,1.96%,8.97%,,,,,,
4,Bastion,Gold,PC,0.23%,54.14%,1.15%,15.18%,,,,,,
5,Brigitte,Gold,PC,0.62%,53.29%,1.44%,6.55%,,,,,,
6,D.Va,Gold,PC,1.65%,49.29%,1.79%,7.88%,,,,,,
7,Doomfist,Gold,PC,1.32%,51.76%,1.23%,7.54%,,,,,,
8,Echo,Gold,PC,0.83%,49.79%,1.54%,7.77%,,,,,,
9,Genji,Gold,PC,3.85%,49.43%,1.60%,10.97%,,,,,,
10,Hanzo,Gold,PC,2.21%,49.18%,1.94%,11.45%,,,,,,
11,Junkrat,Gold,PC,2.31%,50.88%,2.03%,10.61%,,,,,,
12,Lucio,Gold,PC,3.23%,52.86%,1.67%,11.62%,,,,,,
13,McCree,Gold,PC,1.88%,42.22%,0.84%,6.83%,,,,,,
14,Mei,Gold,PC,0.48%,49.40%,1.89%,8.14%,,,,,,
15,Mercy,Gold,PC,9.39%,50.90%,2.07%,2.20%,,,,,,
16,Moira,Gold,PC,5.70%,48.21%,2.06%,5.37%,,,,,,
17,Orisa,Gold,PC,0.27%,45.79%,1.39%,5.51%,,,,,,
18,Pharah,Gold,PC,1.68%,53.09%,1.05%,13.10%,,,,,,
19,Reaper,Gold,PC,1.81%,50.87%,1.57%,14.48%,,,,,,
20,Reinhardt,Gold,PC,5.97%,50.57%,2.08%,6.87%,,,,,,
21,Roadhog,Gold,PC,8.98%,49.48%,1.61%,10.01%,,,,,,
22,Sigma,Gold,PC,1.72%,51.07%,1.71%,12.84%,,,,,,
23,Soldier: 76,Gold,PC,2.52%,50.45%,1.43%,10.62%,,,,,,
24,Sombra,Gold,PC,0.89%,47.27%,1.39%,12.17%,,,,,,
25,Symmetra,Gold,PC,0.52%,57.05%,3.23%,9.50%,,,,,,
26,Torbjorn,Gold,PC,1.11%,59.04%,1.62%,8.06%,,,,,,
27,Tracer,Gold,PC,1.55%,48.24%,0.85%,6.97%,,,,,,
28,Widowmaker,Gold,PC,1.66%,49.45%,1.09%,6.97%,,,,,,
29,Winston,Gold,PC,1.73%,47.53%,1.17%,6.01%,,,,,,
30,Wrecking Ball,Gold,PC,1.84%,50.08%,1.14%,2.65%,,,,,,
31,Zarya,Gold,PC,10.80%,50.81%,2.08%,11.02%,,,,,,
32,Zenyatta,Gold,PC,2.52%,53.47%,1.70%,8.79%,,,,,,
1,Ana,Platinum,PC,14.95%,51.22%,1.96%,9.42%,,,,,,
2,Ashe,Platinum,PC,14.95%,51.22%,1.96%,9.42%,,,,,,
3,Baptiste,Platinum,PC,1.13%,44.91%,2.01%,9.88%,,,,,,
4,Bastion,Platinum,PC,0.18%,58.19%,1.65%,13.93%,,,,,,
5,Brigitte,Platinum,PC,0.41%,50.51%,0.65%,5.23%,,,,,,
6,D.Va,Platinum,PC,1.05%,54.08%,1.76%,7.86%,,,,,,
7,Doomfist,Platinum,PC,1.41%,54.61%,1.42%,6.92%,,,,,,
8,Echo,Platinum,PC,0.82%,51.60%,2.12%,7.91%,,,,,,
9,Genji,Platinum,PC,5.15%,51.18%,1.78%,11.93%,,,,,,
10,Hanzo,Platinum,PC,2.57%,49.10%,1.54%,11.99%,,,,,,
11,Junkrat,Platinum,PC,1.21%,53.88%,1.87%,9.82%,,,,,,
12,Lucio,Platinum,PC,2.80%,55.11%,1.51%,11.41%,,,,,,
13,McCree,Platinum,PC,1.85%,44.63%,0.98%,7.46%,,,,,,
14,Mei,Platinum,PC,0.46%,50.55%,2.00%,7.69%,,,,,,
15,Mercy,Platinum,PC,8.88%,52.18%,2.14%,2.30%,,,,,,
16,Moira,Platinum,PC,3.44%,48.53%,1.91%,5.37%,,,,,,
17,Orisa,Platinum,PC,0.10%,46.49%,1.09%,5.23%,,,,,,
18,Pharah,Platinum,PC,1.14%,54.19%,1.86%,14.07%,,,,,,
19,Reaper,Platinum,PC,1.21%,53.82%,1.65%,13.36%,,,,,,
20,Reinhardt,Platinum,PC,4.01%,53.06%,2.19%,6.77%,,,,,,
21,Roadhog,Platinum,PC,11.42%,51.52%,1.85%,10.80%,,,,,,
22,Sigma,Platinum,PC,1.26%,51.39%,1.83%,13.22%,,,,,,
23,Soldier: 76,Platinum,PC,2.13%,52.92%,1.97%,10.52%,,,,,,
24,Sombra,Platinum,PC,0.89%,49.46%,1.36%,12.53%,,,,,,
25,Symmetra,Platinum,PC,0.37%,57.59%,2.65%,7.03%,,,,,,
26,Torbjorn,Platinum,PC,0.89%,57.61%,1.71%,6.87%,,,,,,
27,Tracer,Platinum,PC,2.10%,50.19%,1.37%,6.93%,,,,,,
28,Widowmaker,Platinum,PC,2.75%,49.94%,1.36%,7.54%,,,,,,
29,Winston,Platinum,PC,1.70%,49.92%,1.38%,6.12%,,,,,,
30,Wrecking Ball,Platinum,PC,2.19%,51.47%,1.33%,2.83%,,,,,,
31,Zarya,Platinum,PC,12.17%,53.06%,2.23%,12.32%,,,,,,
32,Zenyatta,Platinum,PC,2.80%,55.69%,1.61%,7.82%,,,,,,
1,Ana,Diamond,PC,15.99%,52.55%,2.06%,9.17%,,,,,,
2,Ashe,Diamond,PC,631.00%,53.17%,1.79%,9.93%,,,,,,
3,Baptiste,Diamond,PC,0.74%,45.06%,2.16%,10.36%,,,,,,
4,Bastion,Diamond,PC,0.14%,55.49%,0.61%,12.39%,,,,,,
5,Brigitte,Diamond,PC,0.44%,54.76%,1.72%,3.99%,,,,,,
6,D.Va,Diamond,PC,1.04%,53.14%,1.52%,6.76%,,,,,,
7,Doomfist,Diamond,PC,1.38%,54.66%,1.39%,7.11%,,,,,,
8,Echo,Diamond,PC,0.65%,52.95%,1.80%,8.69%,,,,,,
9,Genji,Diamond,PC,5.44%,54.39%,1.64%,11.93%,,,,,,
10,Hanzo,Diamond,PC,2.71%,51.81%,1.82%,11.95%,,,,,,
11,Junkrat,Diamond,PC,0.55%,53.20%,2.29%,7.72%,,,,,,
12,Lucio,Diamond,PC,2.70%,53.23%,1.67%,10.10%,,,,,,
13,McCree,Diamond,PC,1.50%,43.78%,1.56%,7.03%,,,,,,
14,Mei,Diamond,PC,0.27%,47.32%,1.25%,5.57%,,,,,,
15,Mercy,Diamond,PC,8.73%,54.02%,1.83%,2.38%,,,,,,
16,Moira,Diamond,PC,1.76%,48.29%,1.47%,5.29%,,,,,,
17,Orisa,Diamond,PC,0.06%,46.48%,1.39%,5.96%,,,,,,
18,Pharah,Diamond,PC,0.84%,55.42%,1.29%,13.68%,,,,,,
19,Reaper,Diamond,PC,0.47%,54.64%,1.41%,12.20%,,,,,,
20,Reinhardt,Diamond,PC,2.44%,53.80%,2.44%,6.75%,,,,,,
21,Roadhog,Diamond,PC,13.79%,52.86%,2.01%,10.95%,,,,,,
22,Sigma,Diamond,PC,0.73%,52.10%,1.50%,12.26%,,,,,,
23,Soldier: 76,Diamond,PC,1.64%,51.78%,1.12%,10.32%,,,,,,
24,Sombra,Diamond,PC,0.82%,52.03%,1.84%,12.26%,,,,,,
25,Symmetra,Diamond,PC,0.28%,57.57%,1.17%,6.33%,,,,,,
26,Torbjorn,Diamond,PC,0.91%,54.71%,1.01%,6.81%,,,,,,
27,Tracer,Diamond,PC,2.89%,51.26%,1.27%,6.72%,,,,,,
28,Widowmaker,Diamond,PC,4.22%,50.47%,1.96%,7.78%,,,,,,
29,Winston,Diamond,PC,1.84%,52.30%,1.32%,5.76%,,,,,,
30,Wrecking Ball,Diamond,PC,2.57%,50.99%,1.17%,2.90%,,,,,,
31,Zarya,Diamond,PC,13.09%,53.12%,2.07%,12.32%,,,,,,
32,Zenyatta,Diamond,PC,3.07%,56.66%,1.55%,6.67%,,,,,,
1,Ana,Master,PC,18.00%,51.78%,2.25%,8.50%,,,,,,
2,Ashe,Master,PC,6.32%,50.55%,1.86%,9.65%,,,,,,
3,Baptiste,Master,PC,0.36%,44.25%,1.69%,10.42%,,,,,,
4,Bastion,Master,PC,0.05%,52.00%,0.00%,9.68%,,,,,,
5,Brigitte,Master,PC,0.40%,49.48%,0.52%,3.64%,,,,,,
6,D.Va,Master,PC,1.10%,45.49%,2.25%,4.94%,,,,,,
7,Doomfist,Master,PC,1.29%,54.80%,2.07%,6.59%,,,,,,
8,Echo,Master,PC,0.59%,56.23%,1.75%,9.64%,,,,,,
9,Genji,Master,PC,3.89%,51.70%,1.85%,11.72%,,,,,,
10,Hanzo,Master,PC,2.56%,48.27%,2.33%,10.35%,,,,,,
11,Junkrat,Master,PC,0.34%,45.63%,3.03%,6.88%,,,,,,
12,Lucio,Master,PC,2.42%,55.45%,1.70%,10.02%,,,,,,
13,McCree,Master,PC,1.12%,45.45%,0.92%,8.05%,,,,,,
14,Mei,Master,PC,0.23%,45.45%,0.90%,4.11%,,,,,,
15,Mercy,Master,PC,10.33%,50.25%,1.73%,1.80%,,,,,,
16,Moira,Master,PC,0.85%,45.23%,1.45%,5.28%,,,,,,
17,Orisa,Master,PC,0.07%,34.38%,3.03%,9.04%,,,,,,
18,Pharah,Master,PC,0.99%,56.21%,1.66%,12.53%,,,,,,
19,Reaper,Master,PC,0.29%,57.55%,2.80%,11.00%,,,,,,
20,Reinhardt,Master,PC,1.50%,57.10%,2.74%,6.57%,,,,,,
21,Roadhog,Master,PC,13.46%,51.91%,2.36%,9.95%,,,,,,
22,Sigma,Master,PC,0.72%,54.36%,1.71%,10.32%,,,,,,
23,Soldier: 76,Master,PC,1.55%,56.41%,1.85%,10.43%,,,,,,
24,Sombra,Master,PC,0.62%,48.00%,0.99%,10.83%,,,,,,
25,Symmetra,Master,PC,0.32%,53.90%,1.28%,3.78%,,,,,,
26,Torbjorn,Master,PC,0.94%,56.18%,2.63%,5.38%,,,,,,
27,Tracer,Master,PC,3.65%,53.91%,1.18%,6.33%,,,,,,
28,Widowmaker,Master,PC,5.84%,51.40%,1.66%,7.76%,,,,,,
29,Winston,Master,PC,2.04%,50.92%,1.31%,5.42%,,,,,,
30,Wrecking Ball,Master,PC,3.52%,50.72%,1.99%,2.69%,,,,,,
