HeroId,Name,Date,Elims,ObjKills,ObjTime,Damage,SelfHealing,Deaths,WeaponAcc,CriticalHits,FinalBlows,SoloKills,BlossomKills,KD Ratio,VotingCards,Medals,GoldMedals,SilverMedals,BronzeMedals,MaxWinRate,MaxTieRate,MaxPickRate
19,Reaper,9/6/2020,26.81,11.19,1.45,14805,1514,9.5,27%,8.50%,14.75,2.6,5.29,2.82,0.27,3.19,1.06,0.88,1.25,53.62%,1.80%,1.75%
19,Reaper,9/13/2020,26.81,11.19,1.45,14805,1514,9.5,27%,8.50%,14.75,2.6,5.29,2.82,0.27,3.19,1.06,0.88,1.25,53.33%,1.66%,2.13%
