HeroId,Name,Weekof,Elims,ObjKills,ObjTime(min),Damage,Healing,AvgDeath,Final Blows,Solo Kills,OffAssists,DefAssists,Armor Given,DMGBlocked,KD Ratio,VotingCards,Medals,GoldMed,SilverMed,BronzeMed,MaxWinRate,MaxTieRate,MaxPickRate
5,Brigette,9/6/2020,16.86,7.7,1.8,5449,9963,7.99,4.34,0.36,5.09,30.96,4210,1969.00,2.11,0.61,2.18,0.65,1,0.54,53.88%,1.53%,0.67%
5,Brigette,9/13/2020,16.86,7.7,1.8,5449,9963,7.99,4.34,0.36,5.09,30.96,4210,1969.00,2.11,0.61,2.18,0.65,1,0.54,51.38%,2.09%,0.73%
