HeroId,Name,Date,Elims,ObjKills,ObjTime,Damage,Deaths,WeaponAcc,DirectHits,SoloKills,FinalBlows,EnvKills,BarrageKills,KD Ratio,VotingCards,Medals,GoldMedals,SilverMedals,BronzeMedals,MaxWinRate,MaxTieRate,MaxPickRate
18,Pharah,9/6/2020,26.45,9.66,0.8,17670,8.99,47%,47.56,2.94,15.29,0.42,5.27,2.94,0.37,2.6,1.13,0.75,0.73,55.76%,1.65%,1.47%
18,Pharah,9/13/2020,26.45,9.66,0.8,17670,8.99,47%,47.56,2.94,15.29,0.42,5.27,2.94,0.37,2.6,1.13,0.75,0.73,54.27%,1.52%,1.53%
