HeroId,Name,Date,Elims,ObjKills,ObjTime,Damage,Deaths,BeamAcc(Max),BeamKills,BombAcc(Max),BombKills,DuplicateKills,SoloKills,KD Ratio,VotingCards,Medals,GoldMedals,SilverMedals,BronzeMedals,MaxWinRate,MaxTieRate,MaxPickRate
8,Echo,9/6/2020,25.97,9.8,1.15,16549,8.43,44.50%,10.1,24.00%,10.68,4.21%,1.92,3.01%,0.28,2.72,1.02,0.86,0.84,52.53%,2.25%,0.83%
8,Echo,9/13/2020,25.37,9.8,1.15,16549,8.43,44.50%,10.1,24.00%,10.68,4.21%,1.92,3.01%,0.28,2.72,1.02,0.86,0.84,51.85%,1.73%,0.86%
