HeroId,Name,Weekof,Elims,ObjKills,ObjTime(min),Damage,AvgDeath,WeaponAcc,ScopedAcc,Solo Kills,Coach Kills,Dynamite Kills,Bob Kills,KD Ratio,VotingCards,Medals,GoldMed,SilverMed,BronzeMed,MaxWinRate,MaxTieRate,MaxPickRate
2,Ashe,9/6/2020,24.69,9.03,0.9,16648,8.33,40%,42%,2.51,2,8.34,4.24,2.8,0.39,2.58,1.14,0.75,0.7,52.84%,2.05%,6.14%
2,Ashe,9/13/2020,24.69,9.03,0.9,16648,8.33,40%,42%,2.51,2,8.34,4.24,2.96,0.39,2.58,1.14,0.75,0.7,52.58%,1.98%,5.48%
