HeroId,Name,Date,Elims,ObjKills,ObjTime,Damage,Deaths,SoloKills,FinalBlows,DMGBlocked,MeleeKills,JumpKills,RageKills,KD Ratio,VotingCards,Medals,GoldMedals,SilverMedals,BronzeMedals,MaxWinRate,MaxTieRate,MaxPickRate
29,Winston,9/6/2020,24.28,9.75,1.91,9993,8.52,1.1,35%,14536.00,3.1,7.67,2.59,2.85,0.26,2.84,0.88,0.96,1.01,50.73%,1.72%,2.77%
29,Winston,9/13/2020,24.28,9.75,1.91,9993,8.52,1.1,35%,14536.00,3.1,7.67,2.59,2.85,0.26,2.84,0.88,0.96,1.01,52.00%,1.80%,4.45%
