HeroId,Name,Date,Elims,ObjKills,ObjTime,Damage,Deaths,SoloKills,FinalBlows,DMGBlocked,ChargeKills,ShatterKills,FireKills,KD Ratio,VotingCards,Medals,GoldMedals,SilverMedals,BronzeMedals,MaxWinRate,MaxTieRate,MaxPickRate
20,Reinhardt,9/6/2020,18.83,8.14,2.18,11512,8.97,0.5,46.00%,18429,3.98,3.76,7.14,2.1,0.5,2.45,0.82,0.78,0.85,53.11%,2.31%,7.19%
20,Reinhardt,9/13/2020,18.83,8.14,2.18,11512,8.97,0.5,46.00%,18429,3.98,3.76,7.14,2.1,0.5,2.45,0.82,0.78,0.85,53.67%,2.47%,8.77%
