HeroId,Name,Date,Elims,ObjKills,ObjTime,Damage,Healing,Deaths,WeaponAcc,CriticalHits,EnvKills,OffAssists,DefAssits,SoundBarriers,KD Ratio,VotingCards,Medals,GoldMedals,SilverMedals,BronzeMedals,MaxWinRate,MaxTieRate,MaxPickRate
12,Lucio,9/6/2020,16.55,8.17,2.05,6829,10339,7.89,26%,8.20%,0.39,9.66,13.43,14.84,2.1,0.32,2.29,0.79,0.99,0.52,54.51%,1.87%,3.48%
12,Lucio,9/13/2020,16.55,8.17,2.05,6829,10339,7.89,26%,8.20%,0.39,9.66,13.43,14.84,2.1,0.32,2.29,0.79,0.99,0.52,54.29%,1.67%,3.96%
