HeroId,Name,Date,Elims,ObjKills,ObjTime,Damage,Deaths,WeaponAcc,CriticalHits,FinalBlows,SoloKills,EnemiesHacked,EnemiesPulsed,KD Ratio,VotingCards,Medals,GoldMedals,SilverMedals,BronzeMedals,MaxWinRate,MaxTieRate,MaxPickRate
24,Sombra,9/6/2020,21.1,8.46,0.98,9074,6.49,37%,7.80%,7.44,1.28,32.11,12.99,3.04,0.27,2.26,0.45,0.63,1.19,49.90%,1.87%,0.94%
24,Sombra,9/13/2020,21.1,8.46,0.98,9074,6.49,37%,7.80%,7.44,1.28,32.11,12.99,3.04,0.27,2.26,0.45,0.63,1.19,50.64%,1.99%,1.21%
