HeroId,Name,Date,Elims,ObjKills,ObjTime,Damage,Deaths,WeaponAcc,CriticalHits,FinalBlows,SoloKills,FTHKills,DeadeyeKills,KD Ratio,VotingCards,Medals,GoldMedals,SilverMedals,BronzeMedals,MaxWinRate,MaxTieRate,MaxPickRate
13,McCree,9/6/2020,24.43,8.81,0.83,15428,9.44,44%,8.20%,14.37,2.86,2.93,3.2,2.59,0.24,2.5,0.95,0.78,0.78,45.46%,1.34%,1.85%
13,McCree,9/13/2020,24.43,8.81,0.83,15428,9.44,44%,8.20%,14.37,2.86,2.93,3.2,2.59,0.24,2.5,0.95,0.78,0.78,44.55%,1.49%,1.89%
