HeroId,Name,Weekof,Elims,ObjKills,ObjTime(min),Damage,SelfHealing,AvgDeath,WeaponAcc,Critical Hits,Final Blows,Recon Kills,Sentry Kills,Tank Kills,KD Ratio,VotingCards,Medals,GoldMed,SilverMed,BronzeMed,MaxWinRate,MaxTieRate,MaxPickRate
4,Bastion,9/6/2020,26.8,12.3,1.51,22500,1777,9.27,21%,0.90%,58.00%,5.24,18.36,3.21,2.89,0.36,3.16,1.21,0.8,1.15,55.72%,2.78%,0.27%
4,Bastion,9/13/2020,26.8,12.3,1.51,22500,1777,9.27,21%,0.90%,58.00%,5.24,18.36,3.21,2.89,0.36,3.16,1.21,0.8,1.15,58.02%,2.64%,0.28%
