HeroId,Name,Weekof,Elims,ObjKills,ObjTime(min),Damage,Healing,AvgDeath,WeaponAcc,ScopedAcc,EnemiesSlept,KD Ratio,VotingCards,Medals,GoldMed,SilverMed,BronzeMed,MaxWinRate,MaxTieRate,MaxPickRate
1,Ana,9/6/2020,11.66,5.18,1.1,4338,10266,7.36,17%,55%,6.27,1.58,0.22,1.56,0.49,0.76,0.31,51.14%,2.13%,14.56%
1,Ana,9/13/2020,11.66,5.18,1.1,4338,10266,7.36,17%,55%,6.27,1.59,0.22,1.56,0.49,0.76,0.31,50.63%,2.07%,13.25%
