HeroId,Name,Date,Elims,ObjKills,ObjTime,Damage,SelfHealing,Deaths,WeaponAcc,CriticalHits,SoloKills,HeroesHooked,HookAcc,HogKills,KD Ratio,VotingCards,Medals,GoldMedals,SilverMedals,BronzeMedals,MaxWinRate,MaxTieRate,MaxPickRate
21,Roadhog,9/6/2020,22.9,9.3,1.65,15016,4537,7.15,26%,13.00%,1.68,18.48,49.90%,3.48,3.2,0.22,3.71,0.92,1.02,1.77,51.80%,1.94%,11.47%
21,Roadhog,9/13/2020,22.9,9.3,1.65,15016,4537,7.15,26%,13.00%,1.68,18.48,49.90%,3.48,3.2,0.22,3.71,0.92,1.02,1.77,46.59%,2.36%,4.97%
