HeroId,Name,Date,Elims,ObjKills,ObjTime,Damage,SelfHealing,Deaths,WeaponAcc,CriticalHits,DMGBlocked,FinalBlows,EnemiesFrozen,BlizzardKills,KD Ratio,VotingCards,Medals,GoldMedals,SilverMedals,BronzeMedals,MaxWinRate,MaxTieRate,MaxPickRate
14,Mei,9/6/2020,22.65,10.04,1.66,21698,791,8.3,31%,17.20%,5285,7.36,13.73,4.73,2.73,0.15,2.77,0.66,0.81,1.31,52.11%,2.54%,0.55%
14,Mei,9/13/2020,22.65,10.04,1.66,21698,791,8.3,31%,17.20%,5285,7.36,13.73,4.73,2.73,0.15,2.77,0.66,0.81,1.31,51.34%,2.45%,0.48%
