HeroId,Name,Date,Elims,ObjKills,ObjTime,Damage,Deaths,WeaponAcc,CriticalHits,WeaponKills,OverloadKills,TurrentKills,MoltenKills,KD Ratio,VotingCards,Medals,GoldMedals,SilverMedals,BronzeMedals,MaxWinRate,MaxTieRate,MaxPickRate
26,Torb,9/6/2020,25.13,11.03,0.91,19344,6.94,28%,7.10%,15.96,6.29,14.15,4.2,3.62,0.41,2.84,1.24,0.85,0.75,58.92%,2.06%,1.20%
26,Torb,9/13/2020,25.13,11.03,0.91,19344,6.94,28%,7.10%,15.96,6.29,14.15,4.2,3.62,0.41,2.84,1.24,0.85,0.75,60.91%,2.33%,1.21%
