HeroId,Name,Date,Elims,ObjKills,ObjTime,Damage,Healing,Deaths,WeaponAcc,CriticalHits,DMGAmped,OffAssists,DefAssits,Resurrects,KD Ratio,VotingCards,Medals,GoldMedals,SilverMedals,BronzeMedals,MaxWinRate,MaxTieRate,MaxPickRate
15,Mercy,9/6/2020,1.55,0.59,1.13,402,11433,6.88,28%,11.90%,1134,10.11,24.55,6.1,0.22,0.51,1.34,0.64,0.49,0.21,51.84%,2.20%,9.66%
15,Mercy,9/13/2020,1.55,0.59,1.13,402,11433,6.88,28%,11.90%,1134,10.11,24.55,6.1,0.22,0.51,1.34,0.64,0.49,0.21,51.93%,2.21%,9.02%
