HeroId,Name,Date,Elims,ObjKills,ObjTime,Damage,Deaths,ScopedAcc,CriticalHits,WeaponAcc,SoloKills,FinalBlows,VenomKills,KD Ratio,VotingCards,Medals,GoldMedals,SilverMedals,BronzeMedals,MaxWinRate,MaxTieRate,MaxPickRate
28,Widowmaker,9/6/2020,20.01,4.73,0.28,9547,8.79,46.00%,18.00%,42%,5.39,13.51,0.96,2.28,0.13,1.93,0.57,0.6,0.76,50.85%,1.68%,2.61%
28,Widowmaker,9/13/2020,20.01,4.73,0.28,9547,8.79,46.00%,18.00%,42%,5.39,13.51,0.96,2.28,0.13,1.93,0.57,0.6,0.76,51.54%,1.66%,2.30%
