HeroId,Name,Date,Elims,ObjKills,ObjTime,Damage,Healing,Deaths,WeaponAcc,CriticalHits,FinalBlows,OffAssists,DefAssists,TransHealing,KD Ratio,VotingCards,Medals,GoldMedals,SilverMedals,BronzeMedals,MaxWinRate,MaxTieRate,MaxPickRate
32,Zenyatta,9/6/2020,17.43,7.48,1.1,10075,7492,7.51,25%,10.80%,5.64,18.65,22.55,2149.48,2.32,0.46,2.05,0.38,1.12,0.55,56.47%,2.00%,2.76%
32,Zenyatta,9/13/2020,17.43,7.48,1.1,10075,7492,7.51,25%,10.80%,5.64,18.65,22.55,2149.48,2.32,0.46,2.05,0.38,1.12,0.55,56.33%,1.86%,2.85%
